Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
100.00	0.10000	3.4366	0.29098	72.807	101.91	5.6937	0.75140	1.0713	201.64	16.082	6.9581	0.0093806	vapor	vapor, P = 0.1 MPa
150.00	0.10000	2.2592	0.44264	110.47	154.73	6.1224	0.74416	1.0484	249.00	7.7591	10.080	0.014004	vapor	vapor, P = 0.1 MPa
200.00	0.10000	1.6882	0.59233	147.77	207.00	6.4232	0.74302	1.0434	288.11	4.6785	12.911	0.018280	vapor	vapor, P = 0.1 MPa
250.00	0.10000	1.3488	0.74143	184.98	259.13	6.6558	0.74280	1.0417	322.33	3.0870	15.499	0.022251	vapor	vapor, P = 0.1 MPa
300.00	0.10000	1.1233	0.89025	222.17	311.20	6.8457	0.74316	1.0413	353.16	2.1197	17.890	0.025968	vapor	vapor, P = 0.1 MPa
350.00	0.10000	0.96252	1.0389	259.39	363.28	7.0062	0.74453	1.0423	381.39	1.4717	20.117	0.029475	vapor	vapor, P = 0.1 MPa
400.00	0.10000	0.84208	1.1875	296.70	415.45	7.1456	0.74746	1.0450	407.51	1.0089	22.208	0.032806	vapor	vapor, P = 0.1 MPa
														
100.00	1.0000	690.77	0.0014477	-74.631	-73.183	3.3731	0.98331	2.3048	609.42	-0.054514	76.255	0.10058	liquid	liquid, P = 1 MPa
103.75	1.0000	665.83	0.0015019	-65.829	-64.327	3.4601	0.97387	2.4314	559.22	0.060996	67.783	0.092738	liquid	liquid, P = 1 MPa
103.75	1.0000	41.331	0.024195	63.539	87.734	4.9257	0.87859	1.6518	182.79	16.471	7.8351	0.011671	vapor	vapor, P = 1 MPa
150.00	1.0000	23.876	0.041883	105.22	147.10	5.4037	0.76339	1.1480	243.20	7.7009	10.407	0.014795	vapor	vapor, P = 1 MPa
200.00	1.0000	17.212	0.058100	144.48	202.58	5.7233	0.74997	1.0849	286.86	4.5653	13.126	0.018805	vapor	vapor, P = 1 MPa
250.00	1.0000	13.580	0.073637	182.60	256.24	5.9629	0.74638	1.0647	322.92	2.9978	15.657	0.022649	vapor	vapor, P = 1 MPa
300.00	1.0000	11.249	0.088899	220.33	309.23	6.1561	0.74538	1.0559	354.63	2.0532	18.013	0.026291	vapor	vapor, P = 1 MPa
350.00	1.0000	9.6136	0.10402	257.90	361.92	6.3186	0.74607	1.0523	383.33	1.4218	20.217	0.029746	vapor	vapor, P = 1 MPa
400.00	1.0000	8.3992	0.11906	295.46	414.52	6.4591	0.74862	1.0523	409.69	0.97066	22.292	0.033040	vapor	vapor, P = 1 MPa
														
100.00	15.000	750.73	0.0013320	-87.040	-67.060	3.2409	1.0104	1.9512	783.96	-0.31152	102.06	0.12257	liquid	liquid, P = 15 MPa
150.00	15.000	512.08	0.0019528	7.3425	36.635	4.0778	0.89177	2.2297	446.33	0.51420	38.180	0.060172	supercritical	liquid, P = 15 MPa
200.00	15.000	297.17	0.0033651	90.093	140.57	4.6792	0.82664	1.7834	352.39	1.5534	21.944	0.037585	supercritical	liquid, P = 15 MPa
250.00	15.000	208.08	0.0048058	146.56	218.64	5.0292	0.78944	1.4033	372.11	1.3820	20.629	0.033465	supercritical	liquid, P = 15 MPa
300.00	15.000	164.24	0.0060887	193.30	284.63	5.2702	0.77360	1.2565	400.74	1.0194	21.487	0.034240	supercritical	liquid, P = 15 MPa
350.00	15.000	137.38	0.0072792	236.34	345.52	5.4581	0.76664	1.1868	428.22	0.70047	22.870	0.036162	supercritical	liquid, P = 15 MPa
400.00	15.000	118.84	0.0084145	277.62	403.84	5.6138	0.76466	1.1494	453.66	0.44118	24.421	0.038442	supercritical	liquid, P = 15 MPa
